# T (K)      C_V_V (J K^-1 mol^-1)
# V = 188.616000 (a.u.^3)
    0.0      -0.0000000000000
  100.0      16.3459123624073
  200.0      34.7855288856412
  300.0      40.0889964570280
  400.0      44.2684651456967
  500.0      45.9005135493154
  600.0      47.0892379782305
  700.0      47.7633354170328
  800.0      48.2402716788217
  900.0      48.5646443197536
 1000.0      48.8035930776765
 1100.0      48.9798954965546
 1200.0      49.1152648352434
 1300.0      49.2216992538356
 1400.0      49.3045618924243
 1500.0      49.3728230272446
 1600.0      49.4278042503967
 1700.0      49.4731155244803
 1800.0      49.5114342522948
 1900.0      49.5426147739170
 2000.0      49.5694297811901
 2100.0      49.5926618621577
 2200.0      49.6124773585467
 2300.0      49.6292487647002
 2400.0      49.6418094315966
 2500.0      49.6550548699861
 2600.0      49.6686281251620
 2700.0      49.6708700837979
 2800.0      49.6882544941722
 2900.0      49.6863976577756
 3000.0      49.6930607050991
 3100.0      49.7055357487467
 3200.0      49.6978897415593
 3300.0      49.7213618383369
 3400.0      49.6957773655864
 3500.0      49.7239035405638
 3600.0      49.7121574857726
 3700.0      49.7113935680770
 3800.0      49.7368851045029
 3900.0      49.6861876114517
 4000.0      49.7566629209871
 4100.0      49.6775000951034
 4200.0      49.7409628934859
 4300.0      49.7147958100122
 4400.0      49.7482322930837
 4500.0      49.4501371079180
 4600.0      50.8002477635498
 4700.0      45.6338828599195
 4800.0      64.9783400996697
 4900.0      -7.9447800313352
 5000.0     -58.9619052074833
 5100.0      62.9329427601948
 5200.0      52.5201591755473
 5300.0      55.5474841101108
 5400.0      47.3688989190560
 5500.0      54.7214349397229
 5600.0      50.1546139093233
 5700.0      56.7128609603743
 5800.0      47.0607610621493
 5900.0      57.9767908458146
 6000.0      69.2353507091938
# V = 187.870960 (a.u.^3)
    0.0      -0.0000000000000
  100.0      16.1776388730624
  200.0      34.6213415086899
  300.0      39.9866623333718
  400.0      44.1989561715362
  500.0      45.8531197354768
  600.0      47.0546958044952
  700.0      47.7375625096725
  800.0      48.2203956460907
  900.0      48.5491352741766
 1000.0      48.7912083442692
 1100.0      48.9700415481402
 1200.0      49.1073779068826
 1300.0      49.2153564700430
 1400.0      49.2996189951963
 1500.0      49.3689732623035
 1600.0      49.4249357811514
 1700.0      49.4711291693969
 1800.0      49.5101816500879
 1900.0      49.5421108799576
